|Nom entreprise|Adresse|Ville|Telephone
1004|La Gatera Medicina Felina|Lomo del Capón 74|Tafira alta, Las Palmas (España)|679.928.740
1005|El Arca Hospital Veterinario|Avenida Primo de Rivera, 8|A Coruña, A Coruña (España)|981.154.592
1006|Abeiro Hospital Veterinario|Marqués de Amboage, 24|A Coruña, A Coruña (España)|981.153.232
1007|Clinica Veterinaria Fene|Marqués de Figueroa, 63|Fene, A Coruña (España)|981.344.320
1008|Hospital Clinica Veterinaria Ultramar|Nova de Caranza, 169-170 bajo|Ferrol, A Coruña (España)|981.370.224
1009|CLINICA MI+COTA|Av. de Castilla, 43|Palencia, Palencia (España)|979.752.713
1010|Clinica Veterinaria Amigos|de Lugo, 2 bajo|Santiago de Compostela, A Coruña (España)|981.575.424
1011|Guadalupe Casas Mateo|Libertad, 62|Navalcarnero, Madrid (España)|918.113.719
1012|Irubide|Bruno Villarreal, 4|Vitoria-Gasteiz, Álava (España)|945.248.677
1013|Alava Centro Veterinario S.l.l.|Los Herrán, 35|Vitoria-Gasteiz, Álava (España)|945.122.108
1014|Clinica Veterinaria Valdelvira|Vicente Aleixandre, 10|Almansa, Albacete (España)|967.310.708
1015|Clinica Veterinaria Argos|Miguel López de Legazpi, 45|Albacete, Albacete (España)|967.617.241
1016|Clinica Veterinaria El Cabo|Curricán, 44|Alicante, Alicante (España)|965.150.606
1017|Clinica Veterinaria 7 Vidas|Dr. Vander Hofstadt S/N|Sant Joan d'Alacant, Alicante (España)|965.941.275
1018|Clinica Veterinaria Zoo Center|Campoamor, 22|Torrevieja, Alicante (España)|965.716.709
1019|Centro Veterinario Dra. Olga Domínguez|Avenida Pedro Muñoz Seca, 6|Roquetas de Mar, Almería (España)|950.348.965
1020|Hospital De Día Veterinario Vetersalud Tarso|Coruña, 14 (a espaldas del auditorio)|Roquetas de Mar, Almería (España)|950.329.219
1021|Centro Veterinario Ejido Sur|Paseo de las Lomas, 51|El Ejido, Almería (España)|950.487.797
1022|Clínica Veterinaria Asturcón S.l.|Plaza Ciudad de La Habana, 4 bajo dcha.bajo dcha.|Gijón, Asturias (España)|985.327.648
1023|Centro Clínico Veterinario Dr. Armando Solís|Naranjo de Bulnes, 14|Oviedo, Asturias (España)|985.116.222
1024|Clínica Veterinaria Montealto|Gozón, 25 (La Florida)|Oviedo, Asturias (España)|984.088.653, 984.281.282
1025|Clínica veterinaria El Parque|Torcuato Fernández Miranda, 16 bajo|Gijón, Asturias (España)|985.361.123
1026|Hospital Veterinario Asturias|Avda. Pablo Iglesias, 73|Gijón, Asturias (España)|985.131.545
1027|Clínica Veterinaria TERAN (Pola de Siero)|C/ RAMON Y CAJAL, 43|Pola de Siero, Asturias (España)|985.720.646
1028|Centro Clínico Veterinario Navia|Las Veigas, 4|Navia, Asturias (España)|985.630.778
1029|Clínica Veterinaria TERAN (Piloña)|El Horrín, 12|Infiesto, Asturias (España)|985.711.371
1030|Clinica Veterinaria Salinas|Alcalde Luis Treillard, 1|Castrillón, Asturias (España)|985.502.042
1031|Clinica Veterinaria Versalles|Reconquista, 9|Avilés, Asturias (España)|985.547.967
1032|Clínica Veterinaria San Antonio|San Pedro Bautista , 23|Ávila, Ávila (España)|920.256.163
1033|Guadiavet Clínica Veterinaria|Pl. Las Albercas S/N - bajoS/N - bajo|Don Benito, Badajoz (España)|924.811.367
1034|Centro Canino Badajoz|Avenida Vicente Marcelo Nessi, 53|Badajoz, Badajoz (España)|924.245.411
1035|Gossos I Moixos Clínica Veterinaria|Reina Esclaramunda, 6 Baixos (Pza. Patins)Baixos (Pza. Patins)Baixos (Pza. Patins)Baixos (Pza. Pa|Palma, Illes Balears (España)|971.722.611
1036|Clínica Veterinaria San Jorge|Carretera del Aeropuerto, km 3,7 (edif. Luisa Oliver, detrás de La Caixa)|Sant Jordi de ses Salines, Illes Balears (España)|971.396.138
1037|Eurotierklinik|C./ Dragonera 3|Palma, Illes Balears (España)|971.441.213
1038|Son Dureta Veterinari|Camí de Génova, 4 Loc. 10 (C. Com. Sa Taulera)Loc. 10 (C. Com. Sa Taulera)|Palma, Illes Balears (España)|971.732.177
1039|Clínica Veterinaria Arol|Andreu Feliu, 23|Palma, Illes Balears (España)|971.752.546
1040|Clínica Veterinaria Port Des Torrent|Sant Agustí, 216 (Port des Torrent)(Port des Torrent)|Sant Josep sa Talaia, Illes Balears (España)|971.804.022
1041|Clínica Canis|Agnès de Pacs, 12|Palma, Illes Balears (España)|971.732.100
1042|L'Arc de L'Eixample|Muntaner, 64|Barcelona, Barcelona (España)|934.514.101
1043|Veter Centre Hospital Veterinari|Germanes Castells, 14-16|Igualada, Barcelona (España)|938.047.000
1044|Clínica Collserola|Verge dels Dolors, 3|Sant Just Desvern, Barcelona (España)|934.733.827
1045|Clínica Veterinària Vilassar|Sant Josep, 68|Vilassar de Mar, Barcelona (España)|937.594.364
1046|Clinica Veterinaria Dos Quince|Marquesa de Caldes de Montbui, 10|Barcelona, Barcelona (España)|933.476.450
1047|Emilia Sanz Maudes|Trav. Gràcia, 117|Barcelona, Barcelona (España)|932.170.894
1048|Centro Profesional Animal|Gràcia, 8|Sabadell, Barcelona (España)|937.481.324
1049|Centre Veterinari Doctor Insa|Charles Darwin, 82|Teià, Barcelona (España)|935.408.912
1050|Cristóbal Salas Riera|Nou, 6|Mataró, Barcelona (España)|937.904.354
1051|Josep Estañol Masvidal|Rierany dels Frares, 25|Calella, Barcelona (España)|937.661.196
1052|Maria Assumpta Gaju Ricart|Prat de la Riba, 17|Rubí, Barcelona (España)|935.886.941
1053|Veterinària Sant Cugat Diagnostic|Sant Martí, 32|Sant Cugat del Vallès, Barcelona (España)|936.753.754
1054|Clínica Veterinària Mollet|Abat Aureli Maria Escarré, 7-9|Mollet del Vallès, Barcelona (España)|935.937.751
1055|Central Animal|Avda. Mossèn Jacint Verdaguer, 15-23|Santa Perpètua de Mogoda, Barcelona (España)|935.601.095
1056|Francesc Montasell Gell|Ptge. Corís, 3|Sant Cebrià de Vallalta, Barcelona (España)|937.630.144
1057|Joaquim Manuel Mas Arce|Rbla. Badal, 58|Barcelona, Barcelona (España)|934.214.518
1058|Centre Veterinari Matilde Teixido|Corts, 33|Badalona, Barcelona (España)|934.643.873
1059|Daniel Calveras Torner|Puigmal, 24|Gurb, Barcelona (España)|938.890.947
1060|Clinica Veterinaria Vilanova|Avenida González Besada, 33|Vilanova de Arousa, Pontevedra (España)|986.561.033, 649.968.356
1061|Clínica Veterinària Gat i Gos|Ctra. Vic, 57|Manresa, Barcelona (España)|938.746.057
1062|Veterinaris d'Avia|Av. Pau Casals, 30|Avià, Barcelona (España)|938.230.093
1063|Clínica Veterinària Capdevila|J. Molins Parera, 76|Pallejà, Barcelona (España)|936.632.311
1064|Consultori Veterinari Montse Sala|Rda. Sant Ramon, 114|Sant Boi de Llobregat, Barcelona (España)|936.305.071
1065|Consultori Veterinari Diagonal Mar|Pujades, 412-414|Barcelona, Barcelona (España)|932.664.118
1066|Marc Carreras Folguera|Av. Piera, 162|Martorelles, Barcelona (España)|935.708.351
1067|Centro Veterinario Sants|Santa Caterina, 19-23|Barcelona, Barcelona (España)|934.901.285
1068|Centre Veterinari Centelles|Sant Josep, 18|Centelles, Barcelona (España)|938.811.696
1069|VP Exclusivas Veterinarias|Catalunya, 46|Les Franqueses del Vallès, Barcelona (España)|938.463.585
1070|Clínica Veterinària Quisso|Av. Onze de Setembre, 84-86|La Llagosta, Barcelona (España)|935.743.140
1071|Esteban Peláez Martín|Pg. Vall d'Hebron, 58|Barcelona, Barcelona (España)|934.188.581
1072|Centre Veterinari|València, 14|Sant Joan Despí, Barcelona (España)|934.772.356
1073|Centre Veterinari Calabria|Calàbria, 232|Barcelona, Barcelona (España)|934.196.281
1074|Clínica Veterinaria Prada|Luis Cernuda, 14 (junto Avda. Castilla y León, 36)|Burgos, Burgos (España)|947.214.068
1075|Clínica Veterinaria Gamonal|Avenida Eladio Perlado, 54|Burgos, Burgos (España)|947.220.254
1076|Clínica Veterinaria San Martín|Avenida Ruta de la Plata, 48 bajo|Cáceres, Cáceres (España)|927.237.751
1077|Clínica Veterinaria San Antón|Sor Valentina Mirón, 27|Plasencia, Cáceres (España)|927.411.587
1078|Clínica Veterinaria Doctor Can|Teresa de Jesús, 2|Cáceres, Cáceres (España)|927.241.634
1079|Centro Veterinario Plaza Colón|Monte Esquinza 28|Madrid, Madrid (España)|913.231.005
1080|Clínica Veterinaria Puerta Del Sur|Miguel Hue S/N|Jerez de la Frontera, Cádiz (España)|956.142.301
1081|Clínica Verterinaria Fábula|Blanca, 20|San Roque, Cádiz (España)|956.695.259
1082|Cuatro Patas|Crtra. Circunvalación Edif. Bajamar local 6|Puerto Real, Cádiz (España)|956.830.268
1083|Centro Veterinario Soledad|Doctor Pedro Vélez bloque, 3 Complejo la soledad|Chiclana de la Frontera, Cádiz (España)|956.530.091
1084|Asistencia Veterinaria Magalu|San Cristóbal, 10|El Puerto de Santa María, Cádiz (España)|956.051.092
1085|La Dehesilla|Barrón, local 6-7|Sanlúcar de Barrameda, Cádiz (España)|956.369.908
1086|Santa Maria|Cigüeña, 5|El Puerto de Santa María, Cádiz (España)|956.871.129
1087|Centro veterinario Alhama|C/ LOPE DE VEGA, 2|Alhama de Murcia, Murcia (España)|868.920.168
1088|Clínica Veterinaria Duncan|Paseo General Dávila, 64|Santander, Cantabria (España)|942.318.136
1089|Angel Bujons Noguera|C/PONT N 40|Sant Joan de Vilatorrada, Barcelona (España)|938.764.410
1090|Instituto Mediterráneo de Endoscopia|Paseo Morella, 15|Castellón de la Plana, Castellón (España)|964.200.418, 964.200.418
1091|Jose Maria Olucha Monfort|Francesc Ferrer Pastor, 17|Onda, Castellón (España)|964.771.707
1092|Hospital Veterinario San Francisco|San Francisco, 65|Vinaròs, Castellón (España)|964.451.150
1093|Clinica Veterinaria Raquel Guallart|San Roque, 6|Castellón de la Plana, Castellón (España)|964.270.224
1094|Nuevo Valdepeñas Veterinarios S.c.|Salida Membrilla S/N - esq. Prol. San Francisco|Valdepeñas, Ciudad Real (España)|926.321.044
1095|Centro Clínico Veterinario Valero|Avda. Ciudad Real, 5 bajo|Puertollano, Ciudad Real (España)|926.424.733
1096|Clinica Veterinaria Jayda|La Sal, 15 bis|Tomelloso, Ciudad Real (España)|926.512.907
1097|Centro Veterinario Alfonso X|Camarín, 1|Ciudad Real, Ciudad Real (España)|926.920.930
1098|Clínica Veterinaria Noreña|Isla Madeira, S/N (edificio Los Girasoles II, local)|Córdoba, Córdoba (España)|957.467.782
1099|Clínica Veterinaria Viana|Ingeniero Ruiz de Azúa S/N|Córdoba, Córdoba (España)|957.767.334
1100|Centro Especializado Surveco|Manuel Fuentes Bocanegra, 13 (Frente a Zoco)|Córdoba, Córdoba (España)|957.453.841
1101|Chuchos|Cuestón de la Membrilla, 1|Aguilar de la Frontera, Córdoba (España)|957.688.983
1102|Clínica Veterinaria San Marcos|La Fuente, 2|Priego de Córdoba, Córdoba (España)|957.543.441
1103|San Francisco|Pl. del Espliego, 3 (entrada por el parq.)|Cuenca, Cuenca (España)|969.235.491
1104|Animalia Hospital Veterinari|Paseo Paisos Catalans, 37-39|Salt, Girona (España)|972.239.003
1105|Clínica Veterinària Dr. Díez|Marina, 49|Lloret de Mar, Girona (España)|972.364.301
1106|Clinica Veterinaria Dr. Gomis|Noguera, 50|Castelló d'Empúries, Girona (España)|972.451.263
1107|Clínica Veterinaria 4 Vents|Provença, 22|Blanes, Girona (España)|972.355.420
1108|Clinica Veterinaria Costa Brava|Lluís Companys, 6 - 10|Palafrugell, Girona (España)|972.303.647
1109|Centro Veterinario Galápago|Camino de Ronda, 121 (frente Plaza Einstein)(frente Plaza Einstein)(frente Plaza Einstein)(frent|Granada, Granada (España)|958.296.529
1110|Clínica Veterinaria Río Genil|Ribera del Violón, 5|Granada, Granada (España)|958.123.023
1111|Clinica Veterinaria Armilla|Calle Principe felipe, 4|Churriana de la Vega, Granada (España)|958.572.401
1112|Jesús Pérez- Fontan Sanmartín|C/ Claudio Coello 130|Madrid, Madrid (España)|639.563.973
1113|Sanivet Centro Clínico Veterinario|Avda. Hayedo de la Tejera Negra 15|Guadalajara, Guadalajara (España)|949.225.110
1114|Centro Veterinario Fauna|Avda. de Portugal, 6|Huelva, Huelva (España)|959.249.580
1115|Centro Veterinario Llandes|Rio Tinto , 2|Lepe, Huelva (España)|959.382.336
1116|Centro Veterinario Dunas|de los Reyes, 11|Almonte, Huelva (España)|959.406.512
1117|Darbon Centros Veterinarios|Reyes Católicos, 24|Moguer, Huelva (España)|959.373.309
1118|Clínica Veterinaria La Campiña|Trigueros, 91|San Juan del Puerto, Huelva (España)|959.701.066
1119|Clínica Veterinaria La Florida|Pintor El Greco , 9|Linares, Jaén (España)|953.692.416
1120|Clínica Veterinaria La Torre|Pintor Zabaleta, 11 bajo|Torre del Campo, Jaén (España)|953.410.492
1121|Clínica Veterinaria Toledano|Linares, 2|Jaén, Jaén (España)|953.262.805
1122|Hospital Albeitar Especialidades|Avda, Mendavía, 37|Logroño, La Rioja (España)|941.200.713
1123|Centro De Asistencia Veterinaria|Julio Longinos, 22|Calahorra, La Rioja (España)|941.146.952
1124|Clínica Veterinaria Escaleritas|Avenida Escaleritas, 52|Las Palmas de Gran Canaria, Las Palmas (España)|928.257.875
1125|Hospital Veterinario Benartemi 24h|Benartemi, 108|Santa Lucía, Las Palmas (España)|928.793.148
1126|Centro Veterinario Arauna|Hawai, 5 local 1/2|San Bartolomé de Tirajana, Las Palmas (España)|928.146.842
1127|Hospital Veterninario Ferral|Ctra. Campamento, 37|San andres del rabanedo, León (España)|987.846.607
1128|Clínica Veterinaria Centro León|Roa de la Vega, 28|León, León (España)|987.228.801
1129|Clínica Veterinaria Palomera|Victoriano Crémer, 19 - 21|León, León (España)|987.091.012
1130|Hospital Veterinari De Lleida|Joc de la Bola, 16|Lleida, Lleida (España)|973.280.896
1131|V3 Equip Veterinari|Joc de la Bola, 22|Lleida, Lleida (España)|973.281.797
1132|Clínica Veterinaria Salut Animal|Avda. General Avilés, 26|Valencia, València (España)|963.264.324
1133|Centro Veterinario A Marosa S.l.|Concepción Arenal, 34 bajobajobajobajo|Burela, Lugo (España)|982.585.419
1134|Clínica Veterinaria El Bosque|Duero 37 - Centro Comercial Urb. El Bosque|Villaviciosa de Odón, Madrid (España)|916.167.485
1135|Clínica Veterinaria Velázquez|Velázquez, 109|Madrid, Madrid (España)|915.627.769
1136|Animal Natura|Sierra Nevada, 64 (Urb. los Porches)|Las Rozas, Madrid (España)|628.628.711
1137|Clínica Veterinaria Ortega y Gasset|José Ortega y Gasset, 70|Madrid, Madrid (España)|914.014.457
1138|Senatura Fauna Exótica|Atocha, 102|Madrid, Madrid (España)|915.393.467
1139|Centro Veterinario Torrelodones|Camino de Valladolid, 36|Torrelodones, Madrid (España)|918.594.989
1140|Clínica Veterinaria Argüelles|Fernando el Católico, 78|Madrid, Madrid (España)|915.435.854
1141|Clínica Veterinaria El Parque|Virgen de Lluc, 8|Madrid, Madrid (España)|913.263.497
1142|Clínica Veterianaria San Isidro|Oriente, 3|Getafe, Madrid (España)|916.955.282
1143|Centro Veterinario María Rosa Tomás|Negritas, 26|Valdemoro, Madrid (España)|918.953.812
1144|Clínica Veterinaria Boxer|Maestra María del Rosario, 8|Pinto, Madrid (España)|916.913.848
1145|Clínica Veterinaria Opera|Amnistía, 2|Madrid, Madrid (España)|915.415.629
1146|Clínica Veterinaria San Esteban|Torrejón, 4|Fuenlabrada, Madrid (España)|916.970.810
1147|Centre Veterinari Balira|C/ BALIRA, 4|Barcelona, Barcelona (España)|933.463.664
1148|Clínica Veterinaria Dr. Nieto|Maestra Miret, 2|Torremolinos, Málaga (España)|952.386.843
1149|Centro Veterinario Las Afortunadas|Las Afortunadas, 57-58 (Solana Matorral)|Morro del jable, Las Palmas (España)|928.166.293
1150|El Dogo Azul|Avda. del Mercado, s/n Bloque 11 local 11|Marbella, Málaga (España)|952.774.608
1151|El Dogo Azul|Av. las Cumbres S/N Urb. Cerrado de Elviria|Marbella, Málaga (España)|952.830.083
1152|El Dogo Azul|Avda. España, 2 Conj. Los Patios Rotonda Este|Mijas, Málaga (España)|952.931.134
1153|Clínica Veterinaria La Sierra|Torre Alháquime, 1|Ronda, Málaga (España)|952.873.841
1154|Clínica Veterinaria Los Cipreses|N-340, KM. 196|Mijas costa, Málaga (España)|952.934.596
1155|TropiFauna|Av. Rafaela Ibarra, 33|Madrid, Madrid (España)|915.698.602
1156|Clínica Veterinaria Sauces|Cartagena de Indias, 26|Cartagena, Murcia (España)|968.123.315
1157|Hospital Veterinario La Flota|Paseo Ingeniero Sebastian Feringán , 22 Bajo (junto a TVE)|Murcia, Murcia (España)|968.246.122
1158|Clínica Veterinaria Puerto De Mazarrón|Avenida Costa Cálida, 31 Bajo. Edificio Bahíamar (detrás del supermercado El Árbol)|Puerto de mazarron, Murcia (España)|968.153.931
1159|Clinica Veterinaria Ovalo|Miguel Blanco Garrido s/n|Lorca, Murcia (España)|968.468.857
1160|Clinica Veterinaria Villava|Fermín Tirapu, 22 bajo|Villava/Atarrabia, Navarra (España)|948.134.811
1161|Noso Can|Rúa Da Tablada, 2|Pontevedra, Pontevedra (España)|986.846.750
1162|Clínica Veterinaria Canis|Fernández Vega, 17|Ponteareas, Pontevedra (España)|986.660.835
1163|Veterinario de Poio|Av. Porteliña, 27|Poio, Pontevedra (España)|986.871.825
1164|Clínica Veterinaria San Miguel Vilagarcia|Plaza Independencia, 2|Vilagarcía de Arousa, Pontevedra (España)|986.508.819
1165|Clínica Veterinaria San Miguel|Avenida Cambados, 53|Vilanova de Arousa, Pontevedra (España)|986.555.678
1166|Clínica Veterinaria La Vega|Barco, 20 (esq. pl. de la Vega)(esq. pl. de la Vega)|Salamanca, Salamanca (España)|923.218.442
1167|Centro San Francisco|Campo San Francisco, 7 - 11|Salamanca, Salamanca (España)|923.217.631
1168|Clínica Veterinaria Bichos|Príncipe, 28|Salamanca, Salamanca (España)|923.246.823
1169|Servet Ledesma|Pl. Santa Teresa, 13|Ledesma, Salamanca (España)|923.570.496
1170|Uno + De La Familia|Talanqueras S/NS/N|Palazuelos de Eresma, Segovia (España)|921.406.949
1171|Taiga Servicios Veterinarios|Baltasar Gracian Bloque 5-A|Sevilla, Sevilla (España)|954.578.845
1172|Clínica Veterinaria Pilas|Francisco Valladares, 8|Pilas, Sevilla (España)|955.752.814
1173|Clinica Veterinaria Vazquez Ferrete|Zorrilla , 10|Utrera, Sevilla (España)|954.863.792
1174|Clínica Veterinaria La Dehesa|Plaza Odón Alonso, 2 bajos|Soria, Soria (España)|975.213.231
1175|Gatigos Clínica Veterinaria|Mossèn Miquel Amorós, 7|Altafulla, Tarragona (España)|977.652.950
1176|Clínica Veterinaria Quatre Camins|Francisco Pizarro, 15|Tortosa, Tarragona (España)|977.580.366
1177|Clínica Veterinaria La Cabrera|Geranios, 3|La Cabrera, Madrid (España)|918.688.693
1178|Clínica Veterinaria El Mayorazgo|De Pilar Monteverde, 9|La Orotava, Santa Cruz de Tenerife (España)|922.320.476
1179|Hospital Veterinario San Antonio|San Antonio, 8|Santa Cruz de Tenerife, Santa Cruz de Tenerife (España)|922.284.611
1180|Clínica Veterinaria Animalandia|Rufino, 1 (Pol. Ind. Las Mantecas)(Pol. Ind. Las Mantecas)|La Laguna, Santa Cruz de Tenerife (España)|922.642.485
1181|Clínica Veterinaria Los Príncipes|La Estrella (Edif. Proadcomsa - Loc. 1 Ofra)|Santa Cruz de Tenerife, Santa Cruz de Tenerife (España)|922.642.265
1182|Clínica Veterinaria Guaza|Agreste, 6|Arona, Santa Cruz de Tenerife (España)|922.169.249
1183|Centro Clínico Veterinario Teruel|Los Olivos , 8|Teruel, Teruel (España)|978.611.910
1184|Clínica Veterinaria Fuenfresca|Francisco Grande Covián, 7|Teruel, Teruel (España)|978.608.536
1185|Clínica Veterinaria El Parque|Jacinto Benavente, 1|Talavera de la Reina, Toledo (España)|925.671.993
1186|Rogocan|Dublín, 1|Toledo, Toledo (España)|925.229.842
1187|Centro Veterinario Príncipe|del Príncipe Felipe, 51|Talavera de la Reina, Toledo (España)|925.814.934
1188|Centro Veterinario Toledo|Reino Unido, 5|Toledo, Toledo (España)|925.224.659
1189|Clínica Veterinaria L'Albufera|Av. Reyes Católicos, 25|Silla, València (España)|961.210.651
1190|Centre Veterinari d'Ontinyent C.b.|Major, 22|Albaida, València (España)|962.901.733
1191|Centro Clínico Veterinario San Antonio|Av. Joan XXIII, 40|Carcaixent, València (España)|962.461.164
1192|Clínica Veterinaria El Gat Blau|Gabriel Miró, 11|Oliva, València (España)|962.855.480
1193|Clínica Veterinaria Sant Antoni|Ctra. Sueca-Palmera, 21|Sueca, València (España)|961.711.708
1194|Centre Veterinari Albert|Av. Mestre Serrano, 8|Alcàsser, València (España)|961.242.486
1195|Jose Pedro Cubells Ruiz|Buenos Aires, 119|Chiva, València (España)|961.981.993
1196|Centro Veterinario Servi Arrenda|Albacete, 12|Valencia, València (España)|963.292.856
1197|María Carmen Salvo Samanes|Av. Reial, 24|Benigánim, València (España)|962.215.554
1198|Plena Natura|Germanes Llinas, 7|Albaida, València (España)|962.398.025
1199|Eduardo Jose Pastor Segura|Cardenal Benlloch, 52|Mislata, València (España)|963.832.510
1200|Arturo Salvador Molina|Dr. Fleming, Nº 4|Torrent, València (España)|961.561.086
1201|Clínica Veterinaria Mon Viu|Veinticinco de Abril, 3|L'Olleria, València (España)|962.200.303
1202|La Casa Del Perro|Gatzarriñe, 36 A|Sopelana, Vizcaya (España)|946.765.579
1203|Bris Clínica Veterinaria|Simón Bolívar, 1 (Chalet)|Bilbao, Vizcaya (España)|944.101.460
1204|Clínica Veterinaria IAS|Calixto Leguina, 3|Bilbao, Vizcaya (España)|944.450.546
1205|Clínica Veterinaria Sopelana|Sabino Arana Kalea, 28|Sopelana, Vizcaya (España)|946.761.204
1206|Clínica Veterinaria Landeta|Gobela, 6 bajo|Getxo, Vizcaya (España)|944.640.718
1207|Alcantara Clinica Veterinaria|Paseo Sixto Celorrio, 2|Calatayud, Zaragoza (España)|976.881.175
1208|Clínica Veterinaria Mi Mascota II|Levante 124 (Rivas pueblo)|Rivas Vaciamadrid, Madrid (España)|916.703.455
1209|Clínica Veterinaria TERAN (Cangas de Onís)|José Remis Ovalle, 8|Cangas de Onís, Asturias (España)|985.947.377
1210|Centre Veterinari Zoo Bambi|Avinguda Borbó, 19 baixos (dcha.)|Barcelona, Barcelona (España)|933.409.015
1211|Clínica Veterinària Entença|Còrsega, 60|Barcelona, Barcelona (España)|933.227.112
1212|Clínica Veterinària Muntaner|Muntaner, 431 BIS|Barcelona, Barcelona (España)|932.014.286
1213|Centre Veterinari Meridiana|Jota, 9|Barcelona, Barcelona (España)|933.461.469
1214|Traumavet|Av. Diagonal, 203|Barcelona, Barcelona (España)|932.906.801
1215|Faunamanía|Feliu i Codina, 14|Barcelona, Barcelona (España)|934.293.321
1216|Centre Veterinari Cap i Cua|Cinca, 68|Barcelona, Barcelona (España)|933.463.093
1217|Consultori Veterinari Can Gat|Amílcar, 78 - 80|Barcelona, Barcelona (España)|934.209.460
1218|Chen Yang|Rbla. Carmel, 24|Barcelona, Barcelona (España)|934.297.036
1219|Salut Veterinària|Av. de Montbuí, 97 (Urb. Font dels Enamorats)|Caldes de Montbui, Barcelona (España)|938.627.001
1220|Dra. Eulàlia Berenger Morral|Nonell, 6|Cerdanyola del Vallès, Barcelona (España)|935.910.298
1221|Zoo 2000|Boix, 2|Cornella de Llobregat, Barcelona (España)|933.757.724
1222|Centro Veterinario Buups|Francesc Macià, 257|Granollers, Barcelona (España)|938.700.031
1223|Enrique Estrada Riera|Foment, 40|Granollers, Barcelona (España)|938.705.356
1224|Centre Veterinari Sta. Eulàlia|Àngel Guimerà, 75|L'Hospitalet de Llobregat, Barcelona (España)|934.220.759
1225|Consultori Veterinari Ladridos|Av. Josep Tarradellas i Joan, 117|L'Hospitalet de Llobregat, Barcelona (España)|932.600.387
1226|Pineda Litoral|Av. Puerto Rico, 9|Pineda de Mar, Barcelona (España)|937.661.408
1227|Gloria Montasell Ducros|Major, 157|Sant Celoni, Barcelona (España)|938.676.257
1228|B & M C.V.P.|Carretera de Sant Cugat a Valldoreix, 88|Sant Cugat del Vallès, Barcelona (España)|936.744.009
1229|Judith Guell Torne|Roserar, 5|Sant Cugat del Vallès, Barcelona (España)|935.894.086
1230|Maria Eugenia Mateu Camañes|Ctra. Montcada, 95|Terrassa, Barcelona (España)|937.333.549
1231|Artes Clinica Veterinaria|Cisterna, 44|Terrassa, Barcelona (España)|937.894.276
1232|Sal-Iu|Bisbe Morgades, 25|Vic, Barcelona (España)|938.854.562
1233|Jose Maria Planell Serra|Miquel Martí Pol, 9|Vic, Barcelona (España)|938.860.589
1234|Pere Ponsirenas Garcia|Sant Felip Neri, 38|Vilanova i la Geltrú, Barcelona (España)|938.938.918
1235|Hospital Veterinario Alcor|Alcor, 8|Alcalá de Henares, Madrid (España)|918.837.360
1236|Veterinarea Hospital Veterinaio|Carretera de Villalba a Guadarrama, Km. 2|Alpedrete, Madrid (España)|918.501.408, 918.502.069, 918.519.622
1237|Clínica Veterinaria AyAVet|Avda. Infante Don Luis, 7. Local 1|Boadilla del Monte, Madrid (España)|916.336.404
1238|Clínica Veterinaria Viñas Viejas|Diego Argumosa, 1 (Urb. Viñas Viejas)|Boadilla del Monte, Madrid (España)|916.329.997
1239|Santa Teresa Centro Veterinario|Gimialcón, 3|Colmenar Viejo, Madrid (España)|918.455.412
1240|Clínica Veterinaria Loranca|Concepción Arenal, 8|Fuenlabrada, Madrid (España)|916.047.080
1241|Clínica Estoril II|Petunias, 5 (junto Casa Cultura)|Villaviciosa de Odón, Madrid (España)|916.164.953
1242|Galapavet|Ctra. Torrelodones, 11|Galapagar, Madrid (España)|918.583.792
1243|Centro Veterinario Zaragoza|Zaragoza, 3|Getafe, Madrid (España)|916.817.934
1244|Clínica Veterinaria Getafe Norte|Don Juan de Borbón, s/n|Getafe, Madrid (España)|916.826.106
1245|Centro Veterinario La Tortuga|Avenida Atenas, 3 (C. Com. Las Rozas 2 - loc. 140)|Las Rozas, Madrid (España)|916.319.901
1246|Hospital Veterinario Retiro|Menendez Pelayo, 23|Madrid, Madrid (España)|914.093.600
1247|Centro Veterinario Madrid Exóticos|Meléndez Valdés, 17|Madrid, Madrid (España)|914.460.824
1248|Centro Veterinario Valdebernardo|Plaza Rosa Chacel S/N - parc|Madrid, Madrid (España)|913.050.973
1249|Centro Veterinario Momo|Aquitania, 44|Madrid, Madrid (España)|913.063.110
1250|Los Madrazo|Cedaceros 5|Madrid, Madrid (España)|914.293.502
1251|Clínica Veterinaria La Guindalera|Ferrer del Río, 21|Madrid, Madrid (España)|917.268.347
1252|La Clínica Veterinaria|Cabeza Mesada, 32|Madrid, Madrid (España)|913.322.525
1253|Hospital de Día Vetersalud Bahía|Bahía de Palma, 4 Port B|Madrid, Madrid (España)|917.471.206
1254|Centro Veterinario Rican|Santa Rita 2|Madrid, Madrid (España)|914.155.008
1255|Clínica Veterinaria Zoosano|Illescas, 72|Madrid, Madrid (España)|917.180.019
1256|Clinica Veterinaria Peñagrande|Ángel Múgica, 1|Madrid, Madrid (España)|913.584.099
1257|Clinica Veterinaria San Antón|Madrid, 17|Madrid, Madrid (España)|916.049.664
1258|Clinica Arganzuela|P.º Melancólicos, 33|Madrid, Madrid (España)|913.661.953
1259|Clinica Veterinaria Pio Xii|Nicaragua, 20|Madrid, Madrid (España)|91 .359. 15. 06
1260|Clinica Caramuel|Caramuel, 34|Madrid, Madrid (España)|914.644.484
